,is_quote_status,retweet_count,favorite_count,is-spam,user_followers_count,user_friends_count,user_listed_count,user_favourites_count,user_geo_enabled,user_verified,user_statuses_count,user_is_translation_enabled,user_profile_background_tile,user_profile_use_background_image,user_has_extended_profile,user_default_profile,user_default_profile_image,is_replying_to_others,is_quoting_status,hashtag_count,user_mention_count,media_count,has_symbols,has_url,user_is_regular_translator,user_profile_background_color_r,user_profile_background_color_g,user_profile_background_color_b,user_profile_link_color_r,user_profile_link_color_g,user_profile_link_color_b,user_profile_sidebar_border_color_r,user_profile_sidebar_border_color_g,user_profile_sidebar_border_color_b,user_profile_sidebar_fill_color_r,user_profile_sidebar_fill_color_g,user_profile_sidebar_fill_color_b,user_profile_text_color_r,user_profile_text_color_g,user_profile_text_color_b,vec_0,vec_1,vec_2,vec_3,vec_4,vec_5,vec_6,vec_7,vec_8,vec_9
3998,False,0,1,0,34,45,0,526,False,False,358,False,False,True,True,True,False,0.0,0.0,0,0,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.18946549880356797,-0.3009598910173631,1.7596761940201542,0.7226928134397974,-0.09275808327049934,1.3323274570421655,1.221959148724689,1.0104295815339217,-2.3951075126507173,-2.1171207820231066
3999,False,0,0,0,55,309,0,14354,False,False,3604,False,False,True,True,True,False,0.0,0.0,0,2,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.23268004213203225,-0.489869090724576,2.5175955908109655,1.0678056663525364,-0.21479452654958542,1.8984279203816126,1.7963121957554815,1.6164890081521457,-3.5042759756482305,-2.894950991134771
4000,False,1,0,0,232,923,3,43776,False,False,27901,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.29137711418986095,-0.46851592243658313,2.3708584547098353,0.8722800538893526,-0.3770818776770457,1.7393599896458893,1.873187514325408,1.4484178669715317,-3.277808488345168,-2.8249241281477775
4001,False,0,4,0,399,235,1,4506,True,False,9786,False,False,False,True,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,27,149,224,0,0,0,0,0,0,0,0,0,-0.40557659304185517,-0.519816266839501,2.268741609060042,0.905462814966864,-0.2867132252572653,1.4540702159756465,1.62749937966482,1.165962576133201,-3.101467867668383,-2.7073128528894013
4002,False,24,0,0,33,178,0,8879,False,False,524,False,False,True,True,True,False,0.0,0.0,0,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.20248742911260725,-0.5296856321460637,2.175418483345329,0.7770545707201417,-0.1630372376093685,1.5023777685562933,1.8461013905809702,1.4004516732615573,-2.9741522478613125,-2.4252737454979107
4003,False,0,0,0,0,23,0,6619,False,False,1142,False,False,True,True,True,False,1.0,0.0,0,0,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,0.05958499409660713,-0.214870648528105,1.8126074943890111,0.7547052783619067,-0.2807543854128305,1.1228585791842711,1.281032270838746,1.1496341472351497,-2.55147592812189,-2.07215436422806
4004,False,0,6,0,1186,178,2,19184,True,False,5094,False,False,False,False,False,False,0.0,0.0,0,0,0,0.0,0.0,0.0,171,184,194,136,136,136,0,0,0,0,0,0,0,0,0,-0.21687088915411135,-0.4127057425914893,1.9733975545550053,0.9460764253481042,-0.19088014288724972,1.6460032796669763,1.3063036323135306,1.311538788027394,-2.732436957340327,-2.2744164661941495
4005,False,2,0,0,33,228,0,3712,False,False,1393,False,False,True,False,True,False,0.0,0.0,3,1,1,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.11103851848327809,-0.054532141945646095,0.7436257918382215,0.15163419090073282,-0.1976106801865226,0.2806608618807429,0.6112829652385712,0.29394955947465773,-1.0507152045538493,-0.7915986495140952
4006,False,50,0,0,238,290,10,197534,False,False,39204,False,False,True,True,True,False,0.0,0.0,0,1,1,0.0,0.0,0.0,192,222,237,29,161,242,192,222,237,221,238,246,51,51,51,-0.1495697582762689,-0.29130075861893157,1.2950253784591725,0.5269079314258005,-0.15528499778621085,0.9652914596518438,1.1167352958642323,0.8165616790464778,-1.7319129042469052,-1.4555212333370098
4007,False,1,0,0,232,923,3,43776,False,False,27901,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.09012157173486485,-0.2715446170307936,2.233413817230458,0.812001305119206,-0.3776796457972833,1.3547644281634794,1.867120178884034,1.3322095101943352,-3.157356050686496,-2.54478849133283
4008,False,11371,0,0,1,10,0,9,False,False,2,False,False,True,True,True,False,0.0,0.0,0,1,0,0.0,0.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.20225500475090055,-0.5007121503791685,2.0331608454760293,0.803666740888008,-0.37144941543771215,1.400051885406139,1.4497477471398132,1.2906332586509282,-2.7361072013983154,-2.4279261001595778
4009,False,0,0,0,131,769,4,161506,True,False,1444,False,False,True,False,True,False,0.0,0.0,0,1,0,0.0,1.0,0.0,245,248,250,29,161,242,192,222,237,221,238,246,51,51,51,-0.06613606424382396,-0.2471877102035419,1.2995250368188453,0.45534444842643323,-0.2634087707453598,0.8777733456265874,0.9346111539214659,0.6994095885005183,-1.7603294502993152,-1.4582930614531626
